,Coast,State,Plastic Waste,Foam Waste,Fisherman's Waste,Smoking Waste Items,Misc Food Waste Items,Miscellaneous Waste Items
0,West Coast,"Alaska, USA",5098,7320,859,2132,2069,4737.0
1,West Coast,"California, USA",464881,167522,14454,235606,202749,121938.0
2,West Coast,"Hawaii, USA",69467,7968,7609,36564,13926,12674.0
3,West Coast,"Oregon, USA",20207,6923,1269,7008,4810,3210.0
4,West Coast,"Washington, USA",21456,11358,1864,14305,8473,10363.0
5,East Coast,"Alabama, USA",35165,11861,1777,21595,16867,8137.0
6,East Coast,"Connecticut, USA",47755,743584,2045,35156,22517,8773.0
7,East Coast,"Delaware, USA",21928,3677,1494,17770,9418,4707.0
8,East Coast,"Florida, USA",385538,50718,15121,123798,97693,61487.0
9,East Coast,"Georgia, USA",26434,8124,1413,10320,10796,12952.0
10,East Coast,"Louisiana, USA",26912,3941,1990,5632,8492,4377.0
11,East Coast,"Maine, USA",10078,4694,3709,17768,4134,3246.0
12,East Coast,"Maryland, USA",36206,23829,1353,7148,7733,5738.0
13,East Coast,"Massachusetts, USA",77070,333904,6451,34310,29460,12873.0
14,East Coast,"Mississippi, USA",87203,36744,8107,55403,31130,23295.0
15,East Coast,"New Hampshire, USA",7841,11349,2570,16825,2942,2625.0
16,East Coast,"New Jersey, USA",90585,16627,3606,33887,38146,12799.0
17,East Coast,"New York, USA",109689,28948,5212,39777,43243,24594.0
18,East Coast,"North Carolina, USA",43389,10259,1812,45141,22804,11395.0
19,East Coast,"Rhode Island, USA",51891,15189,7188,36663,24146,18129.0
20,East Coast,"South Carolina, USA",23743,10304,3695,18905,8898,6812.0
21,East Coast,"Texas, USA",148000,31775,16124,42546,45236,33339.0
22,East Coast,"Virginia, USA",73196,23336,2247,32427,37484,20764.0
