,level_0,State,Plastic Waste,Foam Waste,Fisherman's Waste,Smoking Waste Items,Misc Food Waste Items,Miscellaneous Waste Items
0,West Coast,"Alaska, USA",17089,17001,4451,11356,10504,13506.0
1,West Coast,"California, USA",1513814,439899,45287,838130,646930,463359.0
2,West Coast,"Hawaii, USA",162594,27640,22564,92206,44719,46293.0
3,West Coast,"Oregon, USA",109147,23946,4098,29913,18316,14395.0
4,West Coast,"Washington, USA",98557,40371,10013,67107,40412,41235.0
5,East Coast,"Alabama, USA",162118,52720,8663,102815,83611,32891.0
6,East Coast,"Connecticut, USA",121210,1076366,7306,82811,58946,22207.0
7,East Coast,"Delaware, USA",104780,17237,6183,58002,36072,16253.0
8,East Coast,"Florida, USA",2136662,326441,91921,866500,516453,437590.0
9,East Coast,"Georgia, USA",117665,29566,10242,107308,47645,67750.0
10,East Coast,"Louisiana, USA",99923,17611,5127,19305,29219,19014.0
11,East Coast,"Maine, USA",59493,24553,15405,98015,24849,20562.0
12,East Coast,"Maryland, USA",137983,89443,5934,30097,30319,16551.0
13,East Coast,"Massachusetts, USA",194662,1734445,22658,112408,78640,45557.0
14,East Coast,"Mississippi, USA",272746,96520,15740,162647,117390,65066.0
15,East Coast,"New Hampshire, USA",30565,124788,8664,64128,12026,9188.0
16,East Coast,"New Jersey, USA",247981,40086,8032,69884,89245,39655.0
17,East Coast,"New York, USA",531150,137787,25011,212475,212727,136847.0
18,East Coast,"North Carolina, USA",134397,34006,6057,137720,66539,42385.0
19,East Coast,"Rhode Island, USA",212945,55080,21238,166780,94181,71354.0
20,East Coast,"South Carolina, USA",123444,44163,9071,98693,47983,37967.0
21,East Coast,"Texas, USA",568165,111735,44542,196452,140885,101938.0
22,East Coast,"Virginia, USA",261140,71165,7226,114577,119174,63518.0
